Start,End,Status,Comments
2020-01-01T03:39:45.573103Z,2020-01-01T03:39:45.573103Z,in bed,
2020-01-01T03:54:14.052137Z,2020-01-01T03:54:14.052137Z,lights off,
2020-01-01T04:30:49.996686Z,2020-01-01T13:40:04.231648Z,asleep,
2020-01-01T09:34:12.220235Z,2020-01-01T09:34:12.220235Z,night noise,
2020-01-01T14:18:44.012431Z,2020-01-01T14:18:44.012431Z,out of bed,
2020-01-01T14:23:44.012431Z,2020-01-01T14:23:44.012431Z,chocolate,
2020-01-01T15:10:46.022514Z,2020-01-01T15:10:46.022514Z,meal,breakfast
2020-01-01T15:10:46.022514Z,2020-01-01T15:10:46.022514Z,drink,with breakfast
2020-01-01T18:59:14.823346Z,2020-01-01T18:59:14.823346Z,toilet,
2020-01-01T19:10:09.166153Z,2020-01-01T19:10:09.166153Z,meal,lunch
2020-01-01T19:13:57.550021Z,2020-01-01T19:13:57.550021Z,snack,
2020-01-01T21:38:04.247847Z,2020-01-01T21:38:04.247847Z,caffeine,
2020-01-01T21:40:30.687977Z,2020-01-01T21:40:30.687977Z,alcohol,
2020-01-01T22:33:03.700586Z,2020-01-01T22:33:03.700586Z,toilet,
2020-01-02T00:51:13.657483Z,2020-01-02T00:51:13.657483Z,meal,dinner
2020-01-02T02:55:28.473068Z,2020-01-02T02:55:28.473068Z,lights off,
2020-01-02T03:10:54.793602Z,2020-01-02T03:10:54.793602Z,in bed,
2020-01-02T04:33:42.618445Z,2020-01-02T11:46:13.684151Z,asleep,
2020-01-02T12:30:11.232772Z,2020-01-02T12:30:11.232772Z,out of bed,
2020-01-02T13:17:56.454336Z,2020-01-02T13:17:56.454336Z,meal,breakfast
2020-01-02T13:17:56.454336Z,2020-01-02T13:17:56.454336Z,drink,with breakfast
2020-01-02T15:24:18.199112Z,2020-01-02T15:24:18.199112Z,meal,lunch
2020-01-02T18:05:31.419226Z,2020-01-02T18:05:31.419226Z,snack,
2020-01-02T19:24:48.413401Z,2020-01-02T19:24:48.413401Z,caffeine,
2020-01-02T19:39:30.228081Z,2020-01-02T19:39:30.228081Z,toilet,
2020-01-02T21:09:49.615370Z,2020-01-02T21:09:49.615370Z,meal,dinner
2020-01-03T06:25:14.562376Z,2020-01-03T06:25:14.562376Z,in bed,
2020-01-03T06:25:31.767995Z,2020-01-03T06:25:31.767995Z,lights off,
2020-01-03T08:23:27.479922Z,2020-01-03T15:30:39.139886Z,asleep,
2020-01-03T15:32:59.724095Z,2020-01-03T15:32:59.724095Z,out of bed,
2020-01-03T16:13:23.311043Z,2020-01-03T16:13:23.311043Z,drink,with breakfast
2020-01-03T20:19:39.919229Z,2020-01-03T20:19:39.919229Z,meal,lunch
2020-01-03T20:49:39.087678Z,2020-01-03T20:49:39.087678Z,chocolate,
2020-01-04T01:00:11.447330Z,2020-01-04T01:00:11.447330Z,meal,dinner
2020-01-04T03:33:12.087980Z,2020-01-04T03:33:12.087980Z,lights off,
2020-01-04T03:52:54.387959Z,2020-01-04T03:52:54.387959Z,in bed,
2020-01-04T05:20:34.172293Z,2020-01-04T13:18:57.710563Z,asleep,
2020-01-04T14:21:37.209603Z,2020-01-04T14:21:37.209603Z,out of bed,
2020-01-04T14:21:37.209603Z,2020-01-04T14:21:37.209603Z,toilet,
2020-01-04T14:26:37.209603Z,2020-01-04T14:26:37.209603Z,chocolate,
2020-01-04T14:47:10.992045Z,2020-01-04T14:47:10.992045Z,meal,breakfast
2020-01-04T14:47:10.992045Z,2020-01-04T14:47:10.992045Z,drink,with breakfast
2020-01-04T17:38:50.018457Z,2020-01-04T17:38:50.018457Z,meal,lunch
2020-01-04T19:04:49.747777Z,2020-01-04T19:04:49.747777Z,toilet,
2020-01-04T19:56:28.126640Z,2020-01-04T19:56:28.126640Z,caffeine,
2020-01-04T22:17:40.656056Z,2020-01-04T22:17:40.656056Z,snack,
2020-01-05T05:28:56.362884Z,2020-01-05T05:28:56.362884Z,in bed,
2020-01-05T05:33:54.162807Z,2020-01-05T05:33:54.162807Z,lights off,
2020-01-05T05:37:59.720092Z,2020-01-05T12:48:46.553229Z,asleep,
2020-01-05T13:25:56.264016Z,2020-01-05T13:25:56.264016Z,out of bed,
2020-01-05T13:33:43.448503Z,2020-01-05T13:33:43.448503Z,drink,with breakfast
2020-01-05T15:06:25.134181Z,2020-01-05T15:06:25.134181Z,chocolate,
2020-01-05T17:01:34.174433Z,2020-01-05T17:01:34.174433Z,meal,lunch
2020-01-05T17:05:57.048385Z,2020-01-05T17:05:57.048385Z,snack,
2020-01-05T18:01:49.332059Z,2020-01-05T18:01:49.332059Z,toilet,
2020-01-05T21:02:23.699842Z,2020-01-05T21:02:23.699842Z,meal,dinner
2020-01-06T04:36:36.415560Z,2020-01-06T04:36:36.415560Z,sleep aid,
2020-01-06T04:56:35.840192Z,2020-01-06T04:56:35.840192Z,lights off,
2020-01-06T05:14:56.678437Z,2020-01-06T05:14:56.678437Z,in bed,
2020-01-06T06:02:51.937654Z,2020-01-06T13:34:18.910661Z,asleep,
2020-01-06T11:28:35.701699Z,2020-01-06T11:28:35.701699Z,night noise,
2020-01-06T14:08:27.912235Z,2020-01-06T14:08:27.912235Z,out of bed,
2020-01-06T14:13:27.912235Z,2020-01-06T14:13:27.912235Z,caffeine,
2020-01-06T17:14:32.825451Z,2020-01-06T17:14:32.825451Z,meal,lunch
2020-01-06T18:39:47.536798Z,2020-01-06T18:39:47.536798Z,chocolate,
2020-01-06T22:29:48.987541Z,2020-01-06T22:29:48.987541Z,meal,dinner
2020-01-06T22:43:41.417525Z,2020-01-06T22:43:41.417525Z,toilet,
2020-01-07T01:16:09.365043Z,2020-01-07T01:16:09.365043Z,snack,
2020-01-07T04:33:57.968067Z,2020-01-07T04:33:57.968067Z,sleep aid,
2020-01-07T04:57:34.097588Z,2020-01-07T04:57:34.097588Z,lights off,
2020-01-07T05:16:44.534651Z,2020-01-07T05:16:44.534651Z,in bed,
2020-01-07T05:44:42.799308Z,2020-01-07T12:58:34.760597Z,asleep,
2020-01-07T13:56:07.117641Z,2020-01-07T13:56:07.117641Z,out of bed,
2020-01-07T14:01:07.117641Z,2020-01-07T14:01:07.117641Z,meal,breakfast
2020-01-07T14:01:07.117641Z,2020-01-07T14:01:07.117641Z,drink,with breakfast
2020-01-07T15:28:44.801684Z,2020-01-07T15:28:44.801684Z,snack,
2020-01-07T17:15:56.467255Z,2020-01-07T17:15:56.467255Z,meal,lunch
2020-01-07T22:23:02.141014Z,2020-01-07T22:23:02.141014Z,meal,dinner
2020-01-08T03:46:11.444306Z,2020-01-08T03:46:11.444306Z,in bed,
2020-01-08T03:54:01.202902Z,2020-01-08T03:54:01.202902Z,lights off,
2020-01-08T04:08:27.535917Z,2020-01-08T13:37:08.335610Z,asleep,
2020-01-08T13:55:30.670467Z,2020-01-08T13:55:30.670467Z,out of bed,
2020-01-08T14:00:30.670467Z,2020-01-08T14:00:30.670467Z,meal,breakfast
2020-01-08T14:00:30.670467Z,2020-01-08T14:00:30.670467Z,drink,with breakfast
2020-01-08T15:37:43.364765Z,2020-01-08T15:37:43.364765Z,toilet,
2020-01-08T17:29:47.371603Z,2020-01-08T17:29:47.371603Z,meal,lunch
2020-01-08T18:20:01.573442Z,2020-01-08T18:20:01.573442Z,caffeine,
2020-01-08T20:14:16.112008Z,2020-01-08T20:14:16.112008Z,chocolate,
2020-01-08T21:53:58.801448Z,2020-01-08T21:53:58.801448Z,toilet,
2020-01-08T22:26:00.797359Z,2020-01-08T22:26:00.797359Z,snack,
2020-01-09T03:55:29.986387Z,2020-01-09T03:55:29.986387Z,toilet,
2020-01-09T04:18:25.703908Z,2020-01-09T04:18:25.703908Z,lights off,
2020-01-09T04:28:47.767706Z,2020-01-09T11:34:34.006414Z,asleep,
2020-01-09T04:28:47.767706Z,2020-01-09T04:28:47.767706Z,in bed,
2020-01-09T11:55:45.085219Z,2020-01-09T11:55:45.085219Z,out of bed,
2020-01-09T12:39:45.801929Z,2020-01-09T12:39:45.801929Z,meal,breakfast
2020-01-09T12:39:45.801929Z,2020-01-09T12:39:45.801929Z,drink,with breakfast
2020-01-09T15:12:39.323727Z,2020-01-09T15:12:39.323727Z,meal,lunch
2020-01-09T19:41:51.659347Z,2020-01-09T19:41:51.659347Z,toilet,
2020-01-09T20:41:33.062879Z,2020-01-09T20:41:33.062879Z,caffeine,
2020-01-09T21:16:04.739479Z,2020-01-09T21:16:04.739479Z,chocolate,
2020-01-09T21:29:23.915254Z,2020-01-09T21:29:23.915254Z,snack,
2020-01-10T03:09:31.332336Z,2020-01-10T03:09:31.332336Z,sleep aid,
2020-01-10T03:53:34.946672Z,2020-01-10T03:53:34.946672Z,lights off,
2020-01-10T04:07:00.072688Z,2020-01-10T04:07:00.072688Z,in bed,
2020-01-10T04:44:55.293492Z,2020-01-10T14:13:43.700820Z,asleep,
2020-01-10T07:39:15.275605Z,2020-01-10T07:39:15.275605Z,night noise,
2020-01-10T14:38:40.172485Z,2020-01-10T14:38:40.172485Z,out of bed,
2020-01-10T15:04:52.074392Z,2020-01-10T15:04:52.074392Z,meal,breakfast
2020-01-10T15:04:52.074392Z,2020-01-10T15:04:52.074392Z,drink,with breakfast
2020-01-10T17:59:19.364288Z,2020-01-10T17:59:19.364288Z,meal,lunch
2020-01-10T20:06:08.205522Z,2020-01-10T20:06:08.205522Z,caffeine,
2020-01-10T20:48:46.166618Z,2020-01-10T20:48:46.166618Z,meal,dinner
2020-01-11T00:58:28.128142Z,2020-01-11T00:58:28.128142Z,snack,
2020-01-11T01:35:53.383272Z,2020-01-11T01:35:53.383272Z,sleep aid,
2020-01-11T02:28:27.479722Z,2020-01-11T02:28:27.479722Z,lights off,
2020-01-11T02:36:26.684705Z,2020-01-11T02:36:26.684705Z,in bed,
2020-01-11T02:46:32.355319Z,2020-01-11T11:50:38.968656Z,asleep,
2020-01-11T11:52:50.770013Z,2020-01-11T11:52:50.770013Z,out of bed,
2020-01-11T12:43:05.279616Z,2020-01-11T12:43:05.279616Z,meal,breakfast
2020-01-11T14:11:57.080164Z,2020-01-11T14:11:57.080164Z,caffeine,
2020-01-11T15:10:57.514099Z,2020-01-11T15:10:57.514099Z,meal,lunch
2020-01-11T16:13:59.021038Z,2020-01-11T16:13:59.021038Z,snack,
2020-01-11T22:52:32.617351Z,2020-01-11T22:52:32.617351Z,alcohol,
2020-01-12T01:26:58.088577Z,2020-01-12T01:26:58.088577Z,sleep aid,
2020-01-12T01:59:31.231665Z,2020-01-12T01:59:31.231665Z,lights off,
2020-01-12T02:34:02.321866Z,2020-01-12T02:34:02.321866Z,in bed,
2020-01-12T02:55:56.865843Z,2020-01-12T11:10:10.037563Z,asleep,
2020-01-12T11:40:30.630818Z,2020-01-12T11:40:30.630818Z,out of bed,
2020-01-12T12:07:56.324814Z,2020-01-12T12:07:56.324814Z,meal,breakfast
2020-01-12T12:07:56.324814Z,2020-01-12T12:07:56.324814Z,drink,with breakfast
2020-01-12T13:21:37.264663Z,2020-01-12T13:21:37.264663Z,chocolate,
2020-01-12T15:46:52.987265Z,2020-01-12T15:46:52.987265Z,meal,lunch
