Start,End,Status,Comments
2019-12-31T23:39:45.573103Z,2019-12-31T23:39:45.573103Z,in bed,
2019-12-31T23:54:14.052137Z,2019-12-31T23:54:14.052137Z,lights off,
2020-01-01T00:30:49.996686Z,2020-01-01T07:03:00Z,asleep,
2020-01-01T04:15:40.104411Z,2020-01-01T04:15:40.104411Z,night noise,
2020-01-01T07:00:00Z,2020-01-01T07:00:00Z,alarm,
2020-01-01T07:41:39.780782Z,2020-01-01T07:41:39.780782Z,out of bed,
2020-01-01T07:46:39.780782Z,2020-01-01T07:46:39.780782Z,chocolate,
2020-01-01T08:33:41.790865Z,2020-01-01T08:33:41.790865Z,meal,breakfast
2020-01-01T08:33:41.790865Z,2020-01-01T08:33:41.790865Z,drink,with breakfast
2020-01-01T12:22:10.591697Z,2020-01-01T12:22:10.591697Z,toilet,
2020-01-01T12:33:04.934505Z,2020-01-01T12:33:04.934505Z,meal,lunch
2020-01-01T12:36:53.318372Z,2020-01-01T12:36:53.318372Z,snack,
2020-01-01T15:01:00.016198Z,2020-01-01T15:01:00.016198Z,caffeine,
2020-01-01T15:55:59.468937Z,2020-01-01T15:55:59.468937Z,toilet,
2020-01-01T17:40:30.687977Z,2020-01-01T17:40:30.687977Z,alcohol,
2020-01-01T18:14:09.425835Z,2020-01-01T18:14:09.425835Z,meal,dinner
2020-01-01T22:55:28.473068Z,2020-01-01T22:55:28.473068Z,lights off,
2020-01-01T23:10:54.793602Z,2020-01-01T23:10:54.793602Z,in bed,
2020-01-02T00:33:42.618445Z,2020-01-02T07:03:00Z,asleep,
2020-01-02T07:00:00Z,2020-01-02T07:00:00Z,alarm,
2020-01-02T07:46:57.548621Z,2020-01-02T07:46:57.548621Z,out of bed,
2020-01-02T08:34:42.770185Z,2020-01-02T08:34:42.770185Z,meal,breakfast
2020-01-02T08:34:42.770185Z,2020-01-02T08:34:42.770185Z,drink,with breakfast
2020-01-02T10:41:04.514961Z,2020-01-02T10:41:04.514961Z,meal,lunch
2020-01-02T13:22:17.735075Z,2020-01-02T13:22:17.735075Z,snack,
2020-01-02T14:41:34.729250Z,2020-01-02T14:41:34.729250Z,caffeine,
2020-01-02T14:56:16.543930Z,2020-01-02T14:56:16.543930Z,toilet,
2020-01-02T16:26:35.931219Z,2020-01-02T16:26:35.931219Z,meal,dinner
2020-01-03T02:25:14.562376Z,2020-01-03T02:25:14.562376Z,in bed,
2020-01-03T02:25:31.767995Z,2020-01-03T02:25:31.767995Z,lights off,
2020-01-03T04:23:27.479922Z,2020-01-03T07:03:00Z,asleep,
2020-01-03T07:00:00Z,2020-01-03T07:00:00Z,alarm,
2020-01-03T07:05:20.584209Z,2020-01-03T07:05:20.584209Z,out of bed,
2020-01-03T07:45:44.171158Z,2020-01-03T07:45:44.171158Z,drink,with breakfast
2020-01-03T11:52:00.779343Z,2020-01-03T11:52:00.779343Z,meal,lunch
2020-01-03T12:21:59.947792Z,2020-01-03T12:21:59.947792Z,chocolate,
2020-01-03T16:32:32.307445Z,2020-01-03T16:32:32.307445Z,meal,dinner
2020-01-03T23:33:12.087980Z,2020-01-03T23:33:12.087980Z,lights off,
2020-01-03T23:52:54.387959Z,2020-01-03T23:52:54.387959Z,in bed,
2020-01-04T01:20:34.172293Z,2020-01-04T09:18:57.710563Z,asleep,
2020-01-04T10:21:37.209603Z,2020-01-04T10:21:37.209603Z,out of bed,
2020-01-04T10:21:37.209603Z,2020-01-04T10:21:37.209603Z,toilet,
2020-01-04T10:26:37.209603Z,2020-01-04T10:26:37.209603Z,chocolate,
2020-01-04T10:47:10.992045Z,2020-01-04T10:47:10.992045Z,meal,breakfast
2020-01-04T10:47:10.992045Z,2020-01-04T10:47:10.992045Z,drink,with breakfast
2020-01-04T13:38:50.018457Z,2020-01-04T13:38:50.018457Z,meal,lunch
2020-01-04T15:04:49.747777Z,2020-01-04T15:04:49.747777Z,toilet,
2020-01-04T15:56:28.126640Z,2020-01-04T15:56:28.126640Z,caffeine,
2020-01-04T18:17:40.656056Z,2020-01-04T18:17:40.656056Z,snack,
2020-01-05T01:28:56.362884Z,2020-01-05T01:28:56.362884Z,in bed,
2020-01-05T01:33:54.162807Z,2020-01-05T01:33:54.162807Z,lights off,
2020-01-05T01:37:59.720092Z,2020-01-05T08:48:46.553229Z,asleep,
2020-01-05T09:25:56.264016Z,2020-01-05T09:25:56.264016Z,out of bed,
2020-01-05T09:33:43.448503Z,2020-01-05T09:33:43.448503Z,drink,with breakfast
2020-01-05T11:06:25.134181Z,2020-01-05T11:06:25.134181Z,chocolate,
2020-01-05T13:01:34.174433Z,2020-01-05T13:01:34.174433Z,meal,lunch
2020-01-05T13:05:57.048385Z,2020-01-05T13:05:57.048385Z,snack,
2020-01-05T14:01:49.332059Z,2020-01-05T14:01:49.332059Z,toilet,
2020-01-05T17:02:23.699842Z,2020-01-05T17:02:23.699842Z,meal,dinner
2020-01-06T00:36:36.415560Z,2020-01-06T00:36:36.415560Z,sleep aid,
2020-01-06T00:56:35.840192Z,2020-01-06T00:56:35.840192Z,lights off,
2020-01-06T01:14:56.678437Z,2020-01-06T01:14:56.678437Z,in bed,
2020-01-06T02:02:51.937654Z,2020-01-06T07:03:00Z,asleep,
2020-01-06T06:12:56.246369Z,2020-01-06T06:12:56.246369Z,night noise,
2020-01-06T07:00:00Z,2020-01-06T07:00:00Z,alarm,
2020-01-06T07:37:09.001574Z,2020-01-06T07:37:09.001574Z,out of bed,
2020-01-06T07:42:09.001574Z,2020-01-06T07:42:09.001574Z,caffeine,
2020-01-06T10:43:13.914790Z,2020-01-06T10:43:13.914790Z,meal,lunch
2020-01-06T12:08:28.626137Z,2020-01-06T12:08:28.626137Z,chocolate,
2020-01-06T15:58:30.076880Z,2020-01-06T15:58:30.076880Z,meal,dinner
2020-01-06T16:12:22.506865Z,2020-01-06T16:12:22.506865Z,toilet,
2020-01-06T18:44:50.454383Z,2020-01-06T18:44:50.454383Z,snack,
2020-01-07T00:33:57.968067Z,2020-01-07T00:33:57.968067Z,sleep aid,
2020-01-07T00:57:34.097588Z,2020-01-07T00:57:34.097588Z,lights off,
2020-01-07T01:16:44.534651Z,2020-01-07T01:16:44.534651Z,in bed,
2020-01-07T01:44:42.799308Z,2020-01-07T07:03:00Z,asleep,
2020-01-07T07:00:00Z,2020-01-07T07:00:00Z,alarm,
2020-01-07T08:00:32.357044Z,2020-01-07T08:00:32.357044Z,out of bed,
2020-01-07T08:05:32.357044Z,2020-01-07T08:05:32.357044Z,meal,breakfast
2020-01-07T08:05:32.357044Z,2020-01-07T08:05:32.357044Z,drink,with breakfast
2020-01-07T09:33:10.041087Z,2020-01-07T09:33:10.041087Z,snack,
2020-01-07T11:20:21.706659Z,2020-01-07T11:20:21.706659Z,meal,lunch
2020-01-07T16:27:27.380417Z,2020-01-07T16:27:27.380417Z,meal,dinner
2020-01-07T23:46:11.444306Z,2020-01-07T23:46:11.444306Z,in bed,
2020-01-07T23:54:01.202902Z,2020-01-07T23:54:01.202902Z,lights off,
2020-01-08T00:08:27.535917Z,2020-01-08T07:03:00Z,asleep,
2020-01-08T07:00:00Z,2020-01-08T07:00:00Z,alarm,
2020-01-08T07:21:22.334857Z,2020-01-08T07:21:22.334857Z,out of bed,
2020-01-08T07:26:22.334857Z,2020-01-08T07:26:22.334857Z,meal,breakfast
2020-01-08T07:26:22.334857Z,2020-01-08T07:26:22.334857Z,drink,with breakfast
2020-01-08T09:03:35.029155Z,2020-01-08T09:03:35.029155Z,toilet,
2020-01-08T10:55:39.035993Z,2020-01-08T10:55:39.035993Z,meal,lunch
2020-01-08T11:45:53.237832Z,2020-01-08T11:45:53.237832Z,caffeine,
2020-01-08T13:40:07.776397Z,2020-01-08T13:40:07.776397Z,chocolate,
2020-01-08T15:19:50.465838Z,2020-01-08T15:19:50.465838Z,toilet,
2020-01-08T15:51:52.461749Z,2020-01-08T15:51:52.461749Z,snack,
2020-01-08T21:21:21.650778Z,2020-01-08T21:21:21.650778Z,toilet,
2020-01-09T00:18:25.703908Z,2020-01-09T00:18:25.703908Z,lights off,
2020-01-09T00:28:47.767706Z,2020-01-09T07:03:00Z,asleep,
2020-01-09T00:28:47.767706Z,2020-01-09T00:28:47.767706Z,in bed,
2020-01-09T07:00:00Z,2020-01-09T07:00:00Z,alarm,
2020-01-09T07:24:11.078805Z,2020-01-09T07:24:11.078805Z,out of bed,
2020-01-09T08:08:11.795515Z,2020-01-09T08:08:11.795515Z,meal,breakfast
2020-01-09T08:08:11.795515Z,2020-01-09T08:08:11.795515Z,drink,with breakfast
2020-01-09T10:41:05.317312Z,2020-01-09T10:41:05.317312Z,meal,lunch
2020-01-09T15:10:17.652932Z,2020-01-09T15:10:17.652932Z,toilet,
2020-01-09T16:09:59.056465Z,2020-01-09T16:09:59.056465Z,caffeine,
2020-01-09T16:44:30.733064Z,2020-01-09T16:44:30.733064Z,chocolate,
2020-01-09T16:57:49.908839Z,2020-01-09T16:57:49.908839Z,snack,
2020-01-09T23:09:31.332336Z,2020-01-09T23:09:31.332336Z,sleep aid,
2020-01-09T23:53:34.946672Z,2020-01-09T23:53:34.946672Z,lights off,
2020-01-10T00:07:00.072688Z,2020-01-10T00:07:00.072688Z,in bed,
2020-01-10T00:44:55.293492Z,2020-01-10T07:03:00Z,asleep,
2020-01-10T02:03:53.425195Z,2020-01-10T02:03:53.425195Z,night noise,
2020-01-10T07:00:00Z,2020-01-10T07:00:00Z,alarm,
2020-01-10T07:27:56.471665Z,2020-01-10T07:27:56.471665Z,out of bed,
2020-01-10T07:54:08.373572Z,2020-01-10T07:54:08.373572Z,meal,breakfast
2020-01-10T07:54:08.373572Z,2020-01-10T07:54:08.373572Z,drink,with breakfast
2020-01-10T10:48:35.663468Z,2020-01-10T10:48:35.663468Z,meal,lunch
2020-01-10T12:55:24.504702Z,2020-01-10T12:55:24.504702Z,caffeine,
2020-01-10T13:38:02.465798Z,2020-01-10T13:38:02.465798Z,meal,dinner
2020-01-10T17:47:44.427322Z,2020-01-10T17:47:44.427322Z,snack,
2020-01-10T21:35:53.383272Z,2020-01-10T21:35:53.383272Z,sleep aid,
2020-01-10T22:28:27.479722Z,2020-01-10T22:28:27.479722Z,lights off,
2020-01-10T22:36:26.684705Z,2020-01-10T22:36:26.684705Z,in bed,
2020-01-10T22:46:32.355319Z,2020-01-11T07:50:38.968656Z,asleep,
2020-01-11T07:52:50.770013Z,2020-01-11T07:52:50.770013Z,out of bed,
2020-01-11T08:43:05.279616Z,2020-01-11T08:43:05.279616Z,meal,breakfast
2020-01-11T10:11:57.080164Z,2020-01-11T10:11:57.080164Z,caffeine,
2020-01-11T11:10:57.514099Z,2020-01-11T11:10:57.514099Z,meal,lunch
2020-01-11T12:13:59.021038Z,2020-01-11T12:13:59.021038Z,snack,
2020-01-11T18:52:32.617351Z,2020-01-11T18:52:32.617351Z,alcohol,
2020-01-11T21:26:58.088577Z,2020-01-11T21:26:58.088577Z,sleep aid,
2020-01-11T21:59:31.231665Z,2020-01-11T21:59:31.231665Z,lights off,
2020-01-11T22:34:02.321866Z,2020-01-11T22:34:02.321866Z,in bed,
2020-01-11T22:55:56.865843Z,2020-01-12T07:10:10.037563Z,asleep,
2020-01-12T07:40:30.630818Z,2020-01-12T07:40:30.630818Z,out of bed,
2020-01-12T08:07:56.324814Z,2020-01-12T08:07:56.324814Z,meal,breakfast
2020-01-12T08:07:56.324814Z,2020-01-12T08:07:56.324814Z,drink,with breakfast
2020-01-12T09:21:37.264663Z,2020-01-12T09:21:37.264663Z,chocolate,
2020-01-12T11:46:52.987265Z,2020-01-12T11:46:52.987265Z,meal,lunch
2020-01-12T17:11:44.944673Z,2020-01-12T17:11:44.944673Z,toilet,
2020-01-12T18:43:36.992178Z,2020-01-12T18:43:36.992178Z,snack,
2020-01-12T23:53:11.256724Z,2020-01-12T23:53:11.256724Z,lights off,
2020-01-13T00:09:20.723387Z,2020-01-13T00:09:20.723387Z,in bed,
2020-01-13T00:49:26.851649Z,2020-01-13T07:03:00Z,asleep,
